Actual Price,Predicted Price
452500.0,595074.8640639267
588500.0,551184.1589739156
1200000.0,766833.2675296773
367500.0,771261.5486104982
275000.0,288566.8589739031
612500.0,663291.6612115669
615000.0,620586.0623894782
790000.0,741378.6529832779
625000.0,690335.1366761832
315000.0,283319.1499896231
550000.0,753805.0183125032
459990.0,704126.3981722199
365000.0,632955.7172955942
331950.0,662558.3248068443
560000.0,488481.0091996705
705380.0,601234.55338913
627000.0,514465.7005958918
485000.0,615184.1672654637
800866.0,843769.5812315095
770000.0,671313.0410798056
541125.0,778247.2113877991
670000.0,431258.04221175076
1395000.0,1133451.396234584
736500.0,782525.6442905205
220000.0,252312.23019357026
309950.0,551045.0338293059
525888.0,694186.4998098213
379950.0,568201.5742226086
2280000.0,3493085.279286833
210000.0,529348.7339066839
585000.0,452550.02943348663
615000.0,601407.1524243323
631625.0,586117.8193870793
366750.0,348129.8701295756
419190.0,353716.07594084914
712198.0,641173.8636257474
397000.0,308784.4645834749
450000.0,270339.3496965462
469000.0,250347.4003840573
425000.0,444246.810245589
250000.0,254356.76557043626
535000.0,420886.4621792808
367500.0,352449.58002025273
520000.0,621751.7308848051
175000.0,243195.79832359363
610000.0,700677.1112189709
404000.0,471062.24035719514
313950.0,438918.78996018576
575000.0,553713.69151739
513000.0,464854.9531637061
365000.0,325616.994316956
530000.0,771580.538136978
484000.0,423636.9681773585
345000.0,271204.53377398977
675000.0,204479.5463661179
1050000.0,522389.3100257217
255000.0,533119.060490678
1150000.0,1091796.0795590398
310000.0,474669.7319812259
750000.0,718660.8666400437
630000.0,475355.4445296372
314500.0,534958.7221007888
3200000.0,1742305.8943581223
535000.0,637692.2924484339
492000.0,985879.763520388
575000.0,421480.445942773
640000.0,539903.8569500523
239900.0,300494.975135676
361280.0,194586.7609154937
100000.0,207133.75925453682
540000.0,986926.1589844982
560000.0,421849.3510791041
775000.0,670450.6014170966
160000.0,308547.5641732487
375000.0,466966.2383471159
245000.0,262498.3167003138
1532500.0,1092071.4334088946
417250.0,358130.7013382035
339950.0,140982.320247893
980000.0,839801.7449859349
830000.0,864321.9401673441
270000.0,411804.41987909365
358000.0,179112.95391370193
716500.0,821511.3348775523
538000.0,471814.8358977416
1750000.0,992300.6108448202
868500.0,720485.6688446467
1307000.0,854442.1688313138
595000.0,453706.5910497864
245000.0,368757.2418981168
424500.0,367631.7111260601
438000.0,184996.98269555788
224500.0,362361.49144565535
255000.0,20645.521641507745
303500.0,258774.76680825243
1370000.0,1052776.3827112317
280000.0,569577.7643542035
260000.0,498236.70471728174
590000.0,569059.849317803
511555.0,354644.3003953496
311100.0,556433.8872482921
325000.0,287686.50823264394
481450.0,354917.51651061035
542500.0,661211.0557581891
325000.0,282141.2977974252
225000.0,519676.33899289963
1702500.0,1391277.3051033514
769900.0,668452.3310268752
800000.0,806139.2739437701
324000.0,190171.77771775192
320000.0,500130.102160436
394950.0,287394.4211604445
1225000.0,1358645.8724460793
885000.0,694987.5644507491
1200000.0,398500.2789441607
750000.0,736566.2056424203
410000.0,567003.6680124828
647000.0,752074.8690047769
950000.0,1082304.6427245303
335000.0,501743.4509238218
850000.0,668086.9572683555
947500.0,875035.6042373698
870300.0,620039.3148884088
746000.0,634672.9500792669
734200.0,841564.5631343239
1225000.0,755565.8555289378
301500.0,143389.95140452764
455000.0,840213.6692031486
267345.0,661604.6467884944
373000.0,741929.9490651404
581000.0,545367.9969194921
225000.0,309532.15606943425
799200.0,766541.0168186823
239950.0,530868.2663254235
717000.0,327921.56367778627
225000.0,251961.57218050503
230000.0,148103.64769839303
860000.0,893932.2648069771
665000.0,561862.4934525534
620000.0,438587.9601669038
450000.0,259937.18342073634
450000.0,679007.4735461733
580000.0,597553.7209012717
375000.0,347849.85085842817
502000.0,526632.2911389845
660000.0,903329.5915656219
330000.0,313104.17572874844
385000.0,469655.59742482635
175000.0,285751.2736723359
372220.0,321322.16223334684
1400000.0,669607.3534972897
766950.0,793290.0742439417
325000.0,582318.4132132333
562000.0,526308.4990514895
511000.0,415471.5699262819
966000.0,964594.6502417877
340000.0,457638.69456065306
349950.0,533724.0864899573
253000.0,529153.8127753665
300000.0,258578.31672493118
256883.0,379407.4246798506
190000.0,264678.18296511436
613000.0,393874.9779831681
300000.0,354900.3070874729
225000.0,351247.8256659999
1255000.0,796006.5956168039
790000.0,459466.3760973987
525000.0,657656.1596357713
640000.0,728283.2609115256
839000.0,300782.70199221745
828950.0,1050286.8027086705
451000.0,397152.46544249146
799000.0,775413.6562664111
720000.0,579064.9067658621
363750.0,393105.5888222422
370000.0,341246.95957081334
342000.0,259490.56523663696
345000.0,511121.8506100214
725000.0,694816.1637237642
350000.0,587583.5720555857
565000.0,385411.2761180749
875000.0,634872.9005202262
862500.0,808804.731651409
730100.0,770121.1847185454
551000.0,587896.5280215137
540000.0,278677.11180100904
205000.0,500285.2869225801
445000.0,446247.73398857913
804995.0,841475.9526215567
341000.0,373863.07377921615
732000.0,534094.1271387781
290000.0,437695.2558339888
1216000.0,906439.1022554656
560000.0,424632.7101264978
280000.0,260575.13904237305
762000.0,901479.5914484694
480000.0,606385.2074122037
390000.0,599052.2351007126
810000.0,897924.2267214785
141800.0,278474.5170690898
565000.0,549298.5737364177
305000.0,406613.0337267141
319950.0,659047.5459230935
611000.0,646167.4426997807
640000.0,340134.20780366973
675000.0,696323.8097743308
330000.0,204604.3194416758
250000.0,566438.694933413
710000.0,464572.36614478705
415000.0,228555.43252881942
450000.0,459799.76061719994
458000.0,501163.25578026404
792000.0,348387.71725776687
699000.0,643532.9969446623
299950.0,271198.0539890301
555000.0,727749.7613744766
499950.0,776088.1724244457
1690000.0,964428.4151319658
194000.0,140784.8050155802
325000.0,483566.8372304037
206000.0,381622.6446978055
423000.0,557476.1833640764
879950.0,932646.451008404
395000.0,268471.0795015951
380000.0,381436.2956874481
515000.0,648615.8655542564
409316.0,410883.5518026602
490000.0,1198507.1104639
785000.0,761773.8244370939
535800.0,437115.0892844497
420850.0,271006.350934446
815000.0,927737.3224750626
